longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,address,zestimate/tax_value
-119.73,36.72,15.0,2246.0,456.0,1190.0,403.0,2.0294,70400.0,INLAND,"2181 S Winery Ave, Fresno, CA 93725, USA",237139.0
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,NEAR BAY,"1889 Harmon St, Berkeley, CA 94703, USA",1864913.0
-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516,85000.0,NEAR BAY,"1737 10th St, Oakland, CA 94607, USA",774068.0
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,NEAR BAY,"1889 Harmon St, Berkeley, CA 94703, USA",1864913.0
-118.39,33.9,7.0,4314.0,725.0,1699.0,718.0,8.2037,500001.0,<1H OCEAN,"1334 Parkview Ave, Manhattan Beach, CA 90266, USA",2011275.0
-118.4,33.89,31.0,2926.0,492.0,1149.0,476.0,7.9611,500001.0,<1H OCEAN,"1604 N Poinsettia Ave, Manhattan Beach, CA 90266, USA",3117012.0
-118.4,33.89,36.0,2334.0,430.0,1033.0,407.0,6.6321,481500.0,<1H OCEAN,"1604 N Poinsettia Ave, Manhattan Beach, CA 90266, USA",3117012.0
-118.4,33.89,36.0,2127.0,314.0,807.0,306.0,8.1596,500001.0,<1H OCEAN,"1604 N Poinsettia Ave, Manhattan Beach, CA 90266, USA",3117012.0
-119.95,38.94,24.0,2180.0,517.0,755.0,223.0,2.5875,173400.0,INLAND,"1321 Ski Run Blvd, South Lake Tahoe, CA 96150, USA",1936353.0
-118.38,33.89,35.0,1778.0,330.0,732.0,312.0,6.5745,379300.0,<1H OCEAN,"1512 Faymont Ave, Manhattan Beach, CA 90266, USA",1573532.0
-122.54,37.97,39.0,4193.0,762.0,1833.0,737.0,5.6263,352100.0,NEAR BAY,"4 Cala Vista Dr, San Rafael, CA 94901, USA",1193369.0
-118.4,33.9,38.0,2868.0,466.0,1098.0,438.0,7.9059,477100.0,<1H OCEAN,"3413 Walnut Ave, Manhattan Beach, CA 90266, USA",2793495.0
-118.39,33.89,30.0,2532.0,464.0,1056.0,419.0,6.3434,460400.0,<1H OCEAN,"1400 17th St, Manhattan Beach, CA 90266, USA",1265852.0
-118.53,34.38,18.0,2288.0,607.0,2305.0,597.0,3.227,136100.0,<1H OCEAN,"24372 Walnut St, Santa Clarita, CA 91321, USA",654705.0
-118.39,33.89,38.0,1851.0,332.0,750.0,314.0,7.3356,422700.0,<1H OCEAN,"1400 17th St, Manhattan Beach, CA 90266, USA",1265852.0
-118.41,33.9,39.0,2040.0,336.0,926.0,351.0,7.5552,500001.0,<1H OCEAN,"593 35th St, Manhattan Beach, CA 90266, USA",2393220.0
-118.36,33.88,44.0,1362.0,237.0,709.0,247.0,4.4271,336200.0,<1H OCEAN,"4726 166th St, Lawndale, CA 90260, USA",581902.0
-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,155400.0,NEAR BAY,"4130 Webster St, Oakland, CA 94609, USA",1560027.0
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,NEAR BAY,"1889 Harmon St, Berkeley, CA 94703, USA",1864913.0
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,NEAR BAY,"1889 Harmon St, Berkeley, CA 94703, USA",1864913.0
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,NEAR BAY,"5630 Gaskill St, Oakland, CA 94608, USA",859513.0
-122.19,37.77,52.0,2170.0,428.0,1086.0,425.0,3.3715,143900.0,NEAR BAY,"2521 61st Ave, Oakland, CA 94605, USA",537454.0
-122.19,37.77,52.0,2329.0,445.0,1144.0,417.0,3.5114,151200.0,NEAR BAY,"2521 61st Ave, Oakland, CA 94605, USA",537454.0
-122.53,37.97,52.0,205.0,119.0,228.0,132.0,1.9063,200000.0,NEAR BAY,"619 B St, San Rafael, CA 94901, USA",619011.0
-122.2,37.77,49.0,2272.0,498.0,1621.0,483.0,2.4338,102400.0,NEAR BAY,"1817 55th Ave, Oakland, CA 94621, USA",510803.0
-122.2,37.77,39.0,2689.0,597.0,1888.0,537.0,2.2562,94800.0,NEAR BAY,"1817 55th Ave, Oakland, CA 94621, USA",510803.0
-122.19,37.77,42.0,932.0,254.0,900.0,263.0,1.8039,92300.0,NEAR BAY,"2521 61st Ave, Oakland, CA 94605, USA",537454.0
-120.97,38.42,16.0,1748.0,322.0,4930.0,287.0,4.3029,121900.0,INLAND,"2727 Irish Ridge Rd, Ione, CA 95640, USA",513690.0
-120.93,38.5,15.0,1248.0,234.0,529.0,216.0,3.3393,107200.0,INLAND,"4801 Taylor Rd, Plymouth, CA 95669, USA",80717.0
-118.25,34.02,50.0,180.0,89.0,356.0,76.0,2.1944,158300.0,<1H OCEAN,"1415 E 22nd St, Los Angeles, CA 90011, USA",490978.0
-121.39,39.39,52.0,189.0,34.0,121.0,37.0,3.0208,60000.0,INLAND,"95 Gipson Rd, Bangor, CA 95914, USA",254105.0
-121.52,39.48,21.0,2628.0,494.0,1364.0,468.0,2.0455,59400.0,INLAND,"30 Shadow Oak Ct, Oroville, CA 95966, USA",243081.0
-121.65,39.53,23.0,1387.0,325.0,640.0,289.0,1.4833,65200.0,INLAND,"2938 Nelson Ave, Oroville, CA 95965, USA",1127039.0
-118.25,34.0,32.0,1218.0,342.0,1292.0,304.0,1.5781,102900.0,<1H OCEAN,"4802 Ascot Ave, Los Angeles, CA 90011, USA",579349.0
-118.25,34.0,36.0,1176.0,309.0,1267.0,292.0,1.6382,105000.0,<1H OCEAN,"4802 Ascot Ave, Los Angeles, CA 90011, USA",579349.0
-121.49,39.49,20.0,2505.0,468.0,1174.0,429.0,2.9965,88900.0,INLAND,"20 Tucker Ave, Oroville, CA 95966, USA",422306.0
-121.52,39.49,30.0,1217.0,238.0,677.0,233.0,2.6563,63600.0,INLAND,"127 Garden Ranch Ln, Oroville, CA 95966, USA",225434.0
-121.54,39.48,29.0,2896.0,596.0,1809.0,617.0,1.8047,53800.0,INLAND,"5395 Crest Ridge Dr, Oroville, CA 95966, USA",172791.0
-121.55,39.48,41.0,461.0,107.0,284.0,90.0,2.2045,41800.0,INLAND,"5150 Lincoln Blvd, Oroville, CA 95966, USA",70644.0
-121.7,39.37,32.0,1852.0,373.0,911.0,365.0,1.7885,57000.0,INLAND,"1150 Vermont St, Gridley, CA 95948, USA",292112.0
-121.55,39.45,18.0,2278.0,523.0,1185.0,475.0,1.3611,60600.0,INLAND,"2847 S Villa Ave, Oroville, CA 95966, USA",219936.0
-121.46,39.4,17.0,3659.0,735.0,1970.0,667.0,2.425,96200.0,INLAND,"32 Las Flores Dr, Oroville, CA 95966, USA",337017.0
-121.61,39.52,24.0,1610.0,324.0,909.0,323.0,1.8661,59800.0,INLAND,"2049 Plumas Ave, Oroville, CA 95965, USA",243555.0
-121.53,39.44,26.0,1340.0,255.0,662.0,239.0,2.6071,57100.0,INLAND,"7075 Citrus Ave, Oroville, CA 95966, USA",132855.0
-121.55,39.44,31.0,1434.0,283.0,811.0,289.0,1.7727,49000.0,INLAND,"7059 Perkins Ave, Palermo, CA 95968, USA",179263.0
-121.52,39.5,33.0,1462.0,241.0,569.0,231.0,3.2833,82600.0,INLAND,"3532 Glen Ave, Oroville, CA 95966, USA",387912.0
-121.71,39.41,22.0,1814.0,342.0,941.0,323.0,2.1728,59400.0,INLAND,"2894 6th St, Biggs, CA 95917, USA",235224.0
-121.54,39.5,38.0,1438.0,310.0,779.0,275.0,1.3289,39400.0,INLAND,"110 Magnolia Pkwy, Oroville, CA 95966, USA",29963.0
-120.57,38.2,13.0,4110.0,847.0,1796.0,706.0,2.6417,122300.0,INLAND,"6169 Michel Rd, Mountain Ranch, CA 95246, USA",361514.0
-120.56,38.09,34.0,2745.0,559.0,1150.0,491.0,2.3654,94900.0,INLAND,"170 Clifton Ln, Angels Camp, CA 95222, USA",398101.0
-121.67,39.34,22.0,1217.0,224.0,537.0,187.0,2.6607,84600.0,INLAND,"954 Gilstrap Ave, Gridley, CA 95948, USA",193486.0
-120.67,37.97,9.0,7450.0,1475.0,2233.0,930.0,2.6528,133000.0,INLAND,"3898 Stagecoach Rd, Copperopolis, CA 95228, USA",717952.0
-121.71,39.42,21.0,1432.0,284.0,862.0,275.0,2.2813,57600.0,INLAND,"390 J St, Biggs, CA 95917, USA",282199.0
-122.52,37.96,35.0,2012.0,346.0,818.0,352.0,5.2818,331000.0,NEAR BAY,"313 Irwin St, San Rafael, CA 94901, USA",512847.0
-121.54,39.33,27.0,720.0,150.0,359.0,138.0,2.5313,61300.0,INLAND,"171 Brown Blvd, Oroville, CA 95966, USA",243358.0
-121.55,39.5,26.0,3215.0,827.0,2041.0,737.0,1.0585,45100.0,INLAND,"1927 Wyandotte Ave, Oroville, CA 95966, USA",86700.0
-121.52,39.43,15.0,2119.0,389.0,1079.0,374.0,2.3566,80400.0,INLAND,"12 Partners Trail, Oroville, CA 95966, USA",320172.0
-121.69,39.36,29.0,2220.0,471.0,1170.0,428.0,2.3224,56200.0,INLAND,"194 Washington St, Gridley, CA 95948, USA",218948.0
-121.7,39.36,37.0,2330.0,495.0,1505.0,470.0,2.0474,56000.0,INLAND,"210 Indiana St, Gridley, CA 95948, USA",188289.0
-121.7,39.36,46.0,1210.0,243.0,523.0,242.0,1.91,63900.0,INLAND,"210 Indiana St, Gridley, CA 95948, USA",188289.0
-121.69,39.36,34.0,842.0,186.0,635.0,165.0,1.8355,63000.0,INLAND,"194 Washington St, Gridley, CA 95948, USA",218948.0
-120.54,38.41,21.0,1435.0,294.0,668.0,267.0,2.5667,77400.0,INLAND,"23391 W Point Pioneer Rd R, West Point, CA 95255, USA",389024.0
-121.97,38.04,38.0,2505.0,554.0,1595.0,498.0,2.5833,83500.0,INLAND,"24 Lakeview Dr, Bay Point, CA 94565, USA",425847.0
-121.97,38.03,17.0,3685.0,685.0,1939.0,649.0,3.7043,139800.0,INLAND,"305 Margaret Ct, Bay Point, CA 94565, USA",493200.0
-122.13,38.0,33.0,2821.0,652.0,1206.0,640.0,2.5481,150800.0,NEAR BAY,"3410 Brookside Dr, Martinez, CA 94553, USA",529164.0
-122.13,38.01,51.0,1262.0,309.0,608.0,298.0,2.1974,139300.0,NEAR BAY,"1936 Estudillo St, Martinez, CA 94553, USA",560801.0
-122.13,38.01,48.0,2123.0,494.0,859.0,474.0,1.8523,144800.0,NEAR BAY,"1936 Estudillo St, Martinez, CA 94553, USA",560801.0
-122.13,38.02,52.0,2378.0,508.0,940.0,451.0,2.9583,166000.0,NEAR BAY,"805 Lafayette St, Martinez, CA 94553, USA",717822.0
-122.12,38.01,50.0,1738.0,355.0,837.0,363.0,3.609,135700.0,NEAR BAY,"2324 S Crest Ave, Martinez, CA 94553, USA",501880.0
-122.08,37.97,9.0,2643.0,439.0,1105.0,467.0,6.6579,245200.0,NEAR BAY,"628 Pasa Tiempo Ct, Pleasant Hill, CA 94523, USA",1024913.0
-122.12,38.01,50.0,1300.0,263.0,691.0,239.0,3.9519,126500.0,NEAR BAY,"2324 S Crest Ave, Martinez, CA 94553, USA",501880.0
-122.12,38.01,42.0,2225.0,367.0,864.0,381.0,4.1189,172400.0,NEAR BAY,"2324 S Crest Ave, Martinez, CA 94553, USA",501880.0
-122.14,38.01,50.0,1760.0,341.0,741.0,316.0,4.5,178300.0,NEAR BAY,"1151 Panoramic Dr, Martinez, CA 94553, USA",958799.0
